job_id,contractor,customer,phone,email,street,city,state,zip,hoa,system_size,panel_count,watt,inverter,battery,roof_type,rep,crew,partner,financer,invoice_number,install_cost,contract_amount,m1_due,m1_received,m2_due,m2_received,m1_amount,m2_amount,utility_company,permit_status,stage,status,install_date,inspection_date,pto_date,site_survey_date,interconnection_status,next_action,adders,notes,created_at,updated_at
IMPORT-5,,Marie Dessources,N/A 2,N/A 2,425 CAREW ST SPRINGFIELD,,MA,01104,false,8.925,21,425,Tesla,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-01-07,,,,Approved,,,Tesla Inverter 12foot trench,2026-03-15,
IMPORT-6,,Leonardo Gutierrez,N/A 2,N/A 2,124 Grover ST Springfield,,MA,01104,false,6.800,16,425,,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-01-28,,,,Approved,,,Backfed Breaker Non-fused GE40a bring fused and 40a fuses for safety,2026-03-15,
IMPORT-7,,Elvis Leiva,N/A 2,N/A 2,38 Washington Rd Springfield,,MA,01108,false,11.475,27,425,Tesla,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-01-10,,,,Approved,,,Tesla inverter,2026-03-15,
IMPORT-8,,Ricardo Ribeiro,N/A 2,N/A 2,564 Chestnut St,Springfield,MA,,false,8.075,19,425,Tesla,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-01-13,,,,Approved,,,Tesla inverter,2026-03-15,
IMPORT-9,,Winturri Melissa,N/A 2,N/A 2,21 Hager Park Rd,Westminster,MA,01473,false,7.650,18,425,,false,,,Pedro,Empower,,2512,3600,3600,true,true,true,true,,,,Approved,,Install Complete,2025-01-13,,,,Approved,,[object Object],Removed 1/13 Reinstalled 1/20,2026-03-15,
IMPORT-10,,Alex Silva,N/A 2,N/A 2,80 S Whipple St,Lowell,MA,,false,14.025,33,425,,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Rescheduled / Issue,2025-01-29,,,,Approved,,,,2026-03-15,
IMPORT-11,,Tran Hue,N/A 2,N/A 2,15 Saint John Street Manchester,,CT,06040,false,5.950,14,425,,false,,,Nicky,Empower,,2506,3556,3556,true,true,true,true,2844.8,711.2,,Approved,,Install Complete,2025-01-15,,,,Approved,,,,2026-03-15,
IMPORT-12,,Marian Souza,N/A 2,N/A 2,405 Mill st Worcester,,MA,,false,10.750,25,430,,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-01-16,,,,Approved,,,,2026-03-15,
IMPORT-13,,"Richardson, Craig",N/A 2,N/A 2,464 Forbush Ave Berlin,,NH,03570,false,6.800,16,425,,false,,,Pedro,Empower,,2507,3264,4080,true,true,true,true,3264,816,,Approved,,Install Complete,2025-01-16,,,,Approved,,,,2026-03-15,
IMPORT-14,,Houghton Leah,N/A 2,N/A 2,20 Hopps Farm Rd West Tisbury,,MA,02568,false,4.250,10,425,,false,,,Pedro,Empower,,2508,2040,2550,true,true,true,true,2040,510,,Approved,,Install Complete,2025-01-21,,,,Approved,,,,2026-03-15,
IMPORT-15,,Albert Rodriguez,N/A 2,N/A 2,20 Harrison Place East Hartford,,CT,06108,false,5.525,13,425,,false,,,Nicky,Empower,,2511,3302,9302,true,true,true,true,8641.6,660.4,,Approved,,Install Complete,2025-01-22,,,,Approved,,,,2026-03-15,
IMPORT-16,,Ennis Shaun,N/A 2,N/A 2,1341 Hardwick Rd Hardwick,,MA,01037,false,15.300,36,425,,false,,,Pedro,Empower,,2509,7344,9180,true,true,true,true,7344,1836,,Approved,,Install Complete,2025-01-23,,,,Approved,,,,2026-03-15,
IMPORT-17,,"Milovanovic, Erin",N/A 2,N/A 2,95 Chippy Ln Methuen,,MA,01844,false,6.800,16,425,,false,,,Nicky,Empower,,2510,3264,4080,true,true,true,true,3264,816,,Approved,,Install Complete,2025-01-24,,,,Approved,,,,2026-03-15,
IMPORT-18,,"Brady, Kathleen",N/A 2,N/A 2,46 Woodside Dr,Tolland,CT,06084,false,,0,0,,false,,,EX,Empower,,2512,644.98,644.98,true,true,true,true,,,,Approved,,Install Complete,2025-01-24,,,,Approved,,[object Object],,2026-03-15,
IMPORT-19,,"Kleiner, Cheryll",N/A 2,N/A 2,111 Stanley Dr,South Windsor,CT,06074,false,7.225,17,425,,false,,,Nicky,Empower,,2513,4318,863.6,true,true,true,true,,863.6,,Approved,,Install Complete,2025-01-27,,,,Approved,,,,2026-03-15,
IMPORT-20,,"Trask, Matt",N/A 2,N/A 2,19 Brookside Dr Buxton,,ME,04093,false,,0,0,,false,,,N/A,,,2514,4080,3264,false,false,false,false,,,,Approved,,Scheduled,2025-01-27,,,,Approved,,,,2026-03-15,
IMPORT-21,,"Botelho, Kevin",N/A 2,N/A 2,466 Norway St,Berlin,NH,03570,false,15.300,36,425,,false,,,Pedro,Empower,,2515,9180,1836,true,true,true,true,,1836,,Approved,,Install Complete,2025-01-28,,,,Approved,,[object Object],Replace service feed 500,2026-03-15,
IMPORT-22,,Leonardo Gutierrez,N/A 2,N/A 2,124 Grover ST Springfield,,MA,01104,false,6.800,16,425,,false,,,Nicky,ISUN,,,0,812.8,true,true,false,false,,812.8,,Approved,,Install Complete,2025-01-28,,,,Approved,,,Backfed Breaker Non-fused GE40a bring fused and 40a fuses for safety,2026-03-15,
IMPORT-23,,Alex Silva,N/A 2,N/A 2,80 S Whipple St,Lowell,MA,,false,14.025,33,425,,false,,,Nicky,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-01-29,,,,Approved,,,,2026-03-15,
IMPORT-24,,"Cousineau, Florence",N/A 2,N/A 2,446 Main St Orono Maine 04473,,ME,04473,false,5.520,12,460,,false,,,Pedro,Empower,,,0,0,true,true,true,true,,,,Approved,,Install Complete,2025-03-05,,,,Approved,,,Replace msp 2500,2026-03-15,
IMPORT-25,,Kristin Hall SV,N/A 2,N/A 2,76 Sunset Ridge,Rocky Hill,CT,06067,false,,0,0,,false,,,N/A,Empower,,2519,350,350,true,true,true,true,350,,,Approved,,Install Complete,2025-01-31,,,,Approved,,,,2026-03-15,
IMPORT-26,,"Mortillaro, Vincent",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2518,5610,500,true,true,true,true,500,,,Approved,,Install Complete,2025-02-05,,,,Approved,,,sv 500 | Please import and I will manually go through,2026-03-15,
IMPORT-27,,Bruce Soule,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2526,0,3570,true,true,true,true,2856,714,,Approved,,Install Complete,2025-02-17,,,,Approved,,,NC | Please import and I will manually go through,2026-03-15,
IMPORT-28,,James Newton S/V,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2517,1000,1000,true,true,true,true,1000,,,Approved,,Install Complete,2025-02-15,,,,Approved,,,S/V 1000 | Please import and I will manually go through,2026-03-15,
IMPORT-29,,Eli Ellis,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2528,0,8650,true,true,true,true,7120,1530,,Approved,,Install Complete,2025-02-19,,,,Approved,,,NC | Please import and I will manually go through,2026-03-15,
IMPORT-30,,Gary Garcia,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2516,4590,4590,true,true,true,true,3672,918,,Approved,,Install Complete,2025-02-07,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-31,,Florence cousineau,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2520,3060,4448,true,true,true,true,4448,,,Approved,,Install Complete,2025-02-10,,,,Approved,,[object Object],mpu | Please import and I will manually go through,2026-03-15,
IMPORT-32,,David Davignon,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2521,7356,8070,true,true,true,true,7356,714,,Approved,,Install Complete,2025-02-11,,,,Approved,,,MPU | Please import and I will manually go through,2026-03-15,
IMPORT-33,,Saul Silva,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,ISUN,,,0,0,true,true,false,false,,,,Approved,,Install Complete,2025-02-11,,,,Approved,,,Isun | Please import and I will manually go through,2026-03-15,
IMPORT-34,,Eig Blair,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2522,3468,3468,true,true,true,true,3468,,,Approved,,Install Complete,2025-02-12,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-35,,Nicole Dobshinsky,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2523,5540,6050,true,true,false,false,5540,510,,Approved,,Install Complete,2025-02-13,,,,Approved,,[object Object],MPU | Please import and I will manually go through,2026-03-15,
IMPORT-36,,Silverio Herminia,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2537,4572,15657.6,true,true,true,true,,,,Approved,,Install Complete,2025-02-14,,,,Approved,,[object Object],N/C | Please import and I will manually go through,2026-03-15,
IMPORT-37,,James Newton SV,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2524,800,800,true,true,true,true,800,,,Approved,,Install Complete,2025-02-15,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-38,,John Lynch,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2525,9588,11985,true,true,true,true,9588,2397,,Approved,,Install Complete,2025-02-17,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-39,,Bruce Soule,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2526,2856,2856,true,true,true,true,,,,Approved,,Install Complete,2025-02-17,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-40,,"Yamamoto, Lisa",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2527,5356,5356,true,true,true,true,,,,Approved,,Install Complete,2025-02-18,,,,Approved,,[object Object],Main Panel only | Please import and I will manually go through,2026-03-15,
IMPORT-41,,Eli Ellis,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2528,7120,7120,true,true,true,true,,,,Approved,,Install Complete,2025-02-19,,,,Approved,,[object Object],Please import and I will manually go through,2026-03-15,
IMPORT-42,,Carlos Rosario,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2529,4318,4318,true,true,true,true,3454.4,863.6,,Approved,,Install Complete,2025-02-20,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-43,,Paul Leonard,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2530,4064,3251.2,true,true,true,true,3251.2,,,Approved,,Install Complete,2025-02-21,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-44,,Arthur Wilkins,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2531,12900,12900,true,true,true,true,,,,Approved,,Install Complete,2025-02-24,,,,Approved,,[object Object],Trench 2800 Full msp 5000 | Please import and I will manually go through,2026-03-15,
IMPORT-45,,Peter Smith (NH) SV,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2532,1000,1000,true,true,true,true,1000,,,Approved,,Install Complete,2025-02-24,,,,Approved,,,1000 | Please import and I will manually go through,2026-03-15,
IMPORT-46,,Craig Chamberlain,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2541,3060,3825,true,true,true,true,3060,765,,Approved,,Install Complete,2025-03-06,,,,Approved,,,N/C missing materials | Please import and I will manually go through,2026-03-15,
IMPORT-47,,James Neel,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2534,4080,6600,true,true,true,true,5580,1020,,Approved,,Install Complete,2025-03-03,,,,Approved,,,Generator not yet installed sched 3/5 | Please import and I will manually go through,2026-03-15,
IMPORT-48,,Levin-Pennell Susan,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2535,4896,6120,true,true,true,true,4896,1224,,Approved,,Install Complete,2025-02-27,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-49,,Talor Duane,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2536,3948,4560,true,true,true,true,3948,612,,Approved,,Install Complete,2025-02-28,,,,Approved,,[object Object],Gen kit 1500 | Please import and I will manually go through,2026-03-15,
IMPORT-50,,Earl Blackney,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2538,3264,4080,true,true,true,true,3264,816,,Approved,,Install Complete,2025-03-03,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-51,,James Neel,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2539,1500,1500,true,true,true,true,,,,Approved,,Install Complete,2025-03-03,,,,Approved,,,Generator | Please import and I will manually go through,2026-03-15,
IMPORT-52,,Cythia Brodie,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2540,3672,4590,true,true,true,true,3672,918,,Approved,,Install Complete,2025-03-04,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-53,,Cousineau Florence,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,,0,0,true,true,true,true,,,,Approved,,Install Complete,2025-03-05,,,,Approved,,,Fix panels | Please import and I will manually go through,2026-03-15,
IMPORT-54,,Craig Chamberlain,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2541,3060,3060,true,true,true,true,,,,Approved,,Install Complete,2025-03-06,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-55,,Jason Smith,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2542,4876,4876,true,true,true,true,4876,,,Approved,,Install Complete,2025-03-07,,,,Approved,,[object Object],1000 trench 20ft | Please import and I will manually go through,2026-03-15,
3846,,"Jedrey, Nancy",N/A 2,N/A 2,333 Penney Rd New Gloucester,,ME,04260,false,,0,0,,false,,,N/A,Empower,,2543,0,6810,true,true,true,true,5688,1122,,Not Submitted,,Fully Paid / Closed,2025-08-14,,,,Approved,,[object Object],trench | Please import and I will manually go through,2026-03-17,
3729,,"Spurling, Roger",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2546,0,500,true,true,true,true,500,,,Not Submitted,,Fully Paid / Closed,2025-03-11,,,,Approved,,,S/V | Please import and I will manually go through,2026-03-17,
3057,,"Jefferson, Richard",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2547,0,1450,true,true,true,true,1450,,,Not Submitted,,Fully Paid / Closed,2025-03-12,,,,Approved,,,S/V | Please import and I will manually go through,2026-03-17,
3910,,"Steele, Jeremy",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2545,0,10200,true,true,true,true,8160,2040,,Not Submitted,,Fully Paid / Closed,2025-03-13,,,,Approved,,,Please import and I will manually go through,2026-03-17,
3991,,"Sideris, Denise",N/A 2,N/A 2,36 Gidley Town Rd,North Dartmouth,MA,02747,false,,0,0,,false,,,N/A,Empower,,2548,0,5960,true,true,true,true,4838,1122,,Not Submitted,,Fully Paid / Closed,2025-05-20,,,,Approved,,,S/V | Please import and I will manually go through,2026-03-17,
3933,,"Perry, Daphne",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2551,0,2652,true,true,true,true,2652,,,Not Submitted,,Fully Paid / Closed,2025-03-19,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3381,,Brianna Medeiros,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2550,0,5610,true,true,true,true,4488,1122,,Not Submitted,,Fully Paid / Closed,2025-03-20,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3861,,"Barton Jr, Francis",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2552,0,350,true,true,false,false,350,,,Not Submitted,,Install Complete,2025-03-21,,,,Approved,,,SV | Please import and I will manually go through,2026-03-17,
IMPORT-64,,Oakes Jessica,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2553,4080,4080,true,true,true,true,3264,816,,Approved,,Install Complete,2025-03-24,,,,Approved,,,100 | Please import and I will manually go through,2026-03-15,
3922,,"Enghagen, Linda",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2554,0,5610,true,true,true,true,4488,1122,,Not Submitted,,Fully Paid / Closed,2025-03-24,,,,Approved,,,Please import and I will manually go through,2026-03-17,
IMPORT-66,,Christine Chick,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2555,4845,4845,true,true,true,true,3876,969,,Approved,,Install Complete,2025-03-26,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-67,,Elizabeth Voigt-Mccue,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2556,5100,5100,true,true,true,true,4080,1020,,Approved,,Install Complete,2025-03-28,,,,Approved,,,Please import and I will manually go through,2026-03-15,
IMPORT-68,,Brendan Carson,N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2557,4590,4590,true,true,true,true,3672,918,,Approved,,Install Complete,2025-03-28,,,,Approved,,,Please import and I will manually go through,2026-03-15,
3830,,"Muldoon, Gina",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2558,0,5865,true,true,true,true,4692,1173,,Not Submitted,,Fully Paid / Closed,2025-04-01,,,,Approved,,,23p C | Please import and I will manually go through,2026-03-17,
3946,,"Horton, Brenda",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2559,0,2856,true,true,true,true,2856,,,Not Submitted,,Fully Paid / Closed,2025-04-01,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3912,,"Leary, Pamela",N/A 2,N/A 2,49 Fern St,Auburn,ME,04210,false,,0,0,,false,,,N/A,Empower,,2560,0,4590,true,true,true,true,3672,918,,Not Submitted,,Fully Paid / Closed,2025-07-15,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3949,,"Voigt-Mccue, Elizabeth",N/A 2,N/A 2,53 Violette Ave,Waterville,ME,04901,false,8.500,0,0,,false,,,N/A,Empower,,2569,0,6000,true,true,true,true,6000,,,Not Submitted,,Fully Paid / Closed,2025-04-18,,,,Approved,,,NC | Please import and I will manually go through,2026-03-17,
2174,,"Manson, Martin",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2565,0,4000,true,true,true,true,4000,,,Not Submitted,,Fully Paid / Closed,2025-04-03,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3977,,"Abdalla, Mha",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2561,0,5100,true,true,true,true,4080,1020,,Not Submitted,,Fully Paid / Closed,2025-04-04,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3964,,"Buccheri, Linda",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2562,0,3302,true,true,true,true,2641.6,660.4,,Not Submitted,,Fully Paid / Closed,2025-04-08,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3886,,"Ferlauto, Amy",N/A 2,N/A 2,110 Gleason St Thomaston,,ME,04861,false,4.250,0,0,,false,,,N/A,Empower,,2564,0,5550,true,true,true,true,5040,510,,Not Submitted,,Fully Paid / Closed,2025-04-22,,,,Approved,,,NC | Please import and I will manually go through,2026-03-17,
4006,,"Isaza, Katherine",N/A 2,N/A 2,,,,,false,,0,0,,false,,,N/A,Empower,,2563,0,2540,true,true,true,true,2032,508,,Not Submitted,,Fully Paid / Closed,2025-04-09,,,,Approved,,,C | Please import and I will manually go through,2026-03-17,
3908,,"Kyle, Karla",N/A 2,N/A 2,17 Earls Rd,South Berwick,ME,03908,false,5.100,0,0,,false,,,N/A,Empower,,2570,0,3060,true,true,true,true,2448,612,,Not Submitted,,Fully Paid / Closed,2025-04-19,,,,Approved,,,NC | Please import and I will manually go through,2026-03-17,
3959,,"Castrillo, Alex",N/A 2,N/A 2,97 Applewood Dr,Meriden,CT,06450,false,7.650,0,0,,false,,,N/A,Empower,,2566,0,4572,true,true,true,true,3657.6,914.4,,Not Submitted,,Fully Paid / Closed,2025-04-15,,,,Approved,,,,2026-03-17,
3990,,"Adet, Ayuen",N/A 2,N/A 2,86 Grant St,Lynn,MA,01902,false,5.525,0,0,,false,,,N/A,Empower,,2567,0,5315,true,true,true,true,4652,663,,Not Submitted,,Fully Paid / Closed,2025-04-16,,,,Approved,,[object Object],100a MPO 2000,2026-03-17,
3915,,"Melloni, Crystal",N/A 2,N/A 2,698 Mill St  Agawam,,MA,01030,false,5.100,0,0,,false,,,N/A,Empower,,2568,0,6315,true,true,true,true,5652,663,,Not Submitted,,Fully Paid / Closed,2025-04-18,,,,Approved,,,200a MPO 3000,2026-03-17,
3989,,"Beckwith, Chris",N/A 2,N/A 2,42 Main Rd N Hampden,,ME,04444,false,8.500,0,0,,false,,,N/A,Empower,,2571,0,9100,true,true,true,true,8080,1020,,Not Submitted,,Fully Paid / Closed,2025-04-21,,,,Approved,,,200a mpu Pending,2026-03-17,
3898,,"Coil, Paula",N/A 2,N/A 2,49 Crescent St Rockland,,ME,04841,false,,0,0,,false,,,N/A,Empower,,2603,0,7090,true,true,true,true,,7090,,Not Submitted,,Fully Paid / Closed,2025-04-22,,,,Approved,,[object Object],,2026-03-17,
3906,,"Wilkins, Arthur",N/A 2,N/A 2,88 Hovey Rd Milo Maine  04463,,ME,04463,false,,0,0,,false,,,N/A,Empower,,2544,0,20175,true,true,true,true,18900,1275,,Not Submitted,,Fully Paid / Closed,2025-04-23,,,,Approved,,[object Object],200a MPU completed,2026-03-17,
3820,,"Fournier, Daniel",N/A 2,N/A 2,1141 Waldo Station Rd Waldo,,ME,04915,false,6.375,0,0,,false,,,N/A,Empower,,2572,0,3825,true,true,true,true,3060,765,,Not Submitted,,Fully Paid / Closed,2025-04-24,,,,Approved,,,,2026-03-17,
3970,,"Williams, Andrew",N/A 2,N/A 2,425 Belgrade Rd,Oakland,ME,04963,false,7.650,0,0,,false,,,N/A,Empower,,2573,0,5590,true,true,true,true,4672,918,,Not Submitted,,Fully Paid / Closed,2025-04-25,,,,Approved,,,,2026-03-17,
3992,,"Lyford, Roger",N/A 2,N/A 2,185 Webb Ridge Rd,Saint Albans,ME,04971,false,,0,0,,false,,,N/A,Empower,,2577,0,5100,true,true,true,true,4080,1020,,Not Submitted,,Fully Paid / Closed,2025-04-28,,,,Approved,,,,2026-03-17,
3902,,"Bari, Didarul",N/A 2,N/A 2,357 Main St,Meriden,CT,06451,false,,0,0,,false,,,N/A,Empower,,2576,0,4064,true,true,true,true,3251.2,812.8,,Not Submitted,,Fully Paid / Closed,2025-04-28,,,,Approved,,,,2026-03-17,
3976,,"Ward, Mary Ellen",N/A 2,N/A 2,16 Clavette Rd,New Canada,ME,04743,false,,0,0,,false,,,N/A,Empower,,2579,0,4488,true,true,true,true,4488,,,Not Submitted,,Fully Paid / Closed,2025-04-30,,,,Approved,,,,2026-03-17,
3923,,"Waters, Katherine",N/A 2,N/A 2,25 Oxbow Rd,Dresden,ME,04342,false,,0,0,,false,,,N/A,Empower,,2580,0,18220,true,true,true,true,15976,2244,,Not Submitted,,Fully Paid / Closed,2025-05-01,,,,Approved,,,,2026-03-17,
